"municipio";"low_cost";"rotulo";"mean(precio_gasoleo_a, na.rm = TRUE)";"mean(precio_gasolina_95_e5_premium, na.rm = TRUE)";"max(precio_gasoleo_a, na.rm = TRUE)";"max(precio_gasolina_95_e5_premium, na.rm = TRUE)";"min(precio_gasoleo_a, na.rm = TRUE)";"min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Abadín";FALSE;"CEPSA";1.409;NA;1.409;-Inf;1.409;Inf
"Abadín";TRUE;"AREA DE SERVICIO O REI DAS TARTAS (REPSOL)";1.429;NA;1.429;-Inf;1.429;Inf
"Abadiño";TRUE;"EROSKI";1.337;NA;1.359;-Inf;1.315;Inf
"Abadiño";TRUE;"EUSKOIL-STAR PETROLEUM";1.337;NA;1.359;-Inf;1.315;Inf
"Abanilla";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Abanilla";TRUE;"MEROIL, S.A.";1.309;NA;1.319;-Inf;1.299;Inf
"Abanilla";TRUE;"ER RENESUR";1.309;NA;1.319;-Inf;1.299;Inf
"Abanto y Ciérvana-Abanto Zierbena";FALSE;"REPSOL";1.449;NA;1.449;-Inf;1.449;Inf
"Abanto y Ciérvana-Abanto Zierbena";TRUE;"E.S.EL CAMPILLO";1.45566666666667;NA;1.459;-Inf;1.449;Inf
"Abanto y Ciérvana-Abanto Zierbena";TRUE;"PETRONOR";1.45566666666667;NA;1.459;-Inf;1.449;Inf
"Abanto y Ciérvana-Abanto Zierbena";TRUE;"PETRONOR";1.45566666666667;NA;1.459;-Inf;1.449;Inf
"Abarán";FALSE;"CEPSA";1.359;NA;1.359;-Inf;1.359;Inf
"Abarán";TRUE;"E.S.MONTEPINAR";1.369;NA;1.379;-Inf;1.359;Inf
"Abarán";TRUE;"LAS COLONIAS";1.369;NA;1.379;-Inf;1.359;Inf
"Abegondo";FALSE;"CEPSA";1.409;NA;1.409;-Inf;1.409;Inf
"Abegondo";TRUE;"GSM";1.278;NA;1.278;-Inf;1.278;Inf
"Abejar";FALSE;"REPSOL";1.379;NA;1.379;-Inf;1.379;Inf
"Abengibre";TRUE;"Nº 10.935";1.349;NA;1.349;-Inf;1.349;Inf
"Abenójar";FALSE;"GALP";1.419;NA;1.419;-Inf;1.419;Inf
"Abla";FALSE;"CEPSA";1.389;NA;1.389;-Inf;1.389;Inf
"Ablitas";TRUE;"AN ENERGETICOS";1.299;NA;1.299;-Inf;1.299;Inf
"Abrera";FALSE;"GALP";1.379;NA;1.379;-Inf;1.379;Inf
"Abrera";TRUE;"NIEVES";1.374;1.539;1.379;1.539;1.369;1.539
"Abrera";TRUE;"HAM";1.374;1.539;1.379;1.539;1.369;1.539
"Abrera";TRUE;"HAM";1.374;1.539;1.379;1.539;1.369;1.539
"Acedera";TRUE;"COOP.GUADALPERALES";1.237;NA;1.237;-Inf;1.237;Inf
"Aceuchal";FALSE;"CAMPSA";1.419;NA;1.419;-Inf;1.419;Inf
"Aceuchal";TRUE;"LA SOLEDAD";1.223;NA;1.223;-Inf;1.223;Inf
"Adamuz";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Adamuz";TRUE;"COOP. AGRICOLA NTRA. MADRE DEL SOL (DCOOP)";1.239;NA;1.239;-Inf;1.239;Inf
"Adanero";FALSE;"CEPSA";1.375;1.573;1.375;1.573;1.375;1.573
"Adanero";FALSE;"CEPSA";1.375;1.573;1.375;1.573;1.375;1.573
"Adeje";FALSE;"REPSOL";1.12033333333333;NA;1.134;-Inf;1.108;Inf
"Adeje";FALSE;"SHELL";1.12033333333333;NA;1.134;-Inf;1.108;Inf
"Adeje";FALSE;"CEPSA";1.12033333333333;NA;1.134;-Inf;1.108;Inf
"Adeje";TRUE;"GMOIL";1.10055555555556;NA;1.161;-Inf;0.989;Inf
"Adeje";TRUE;"BP SAN SEBASTIAN";1.10055555555556;NA;1.161;-Inf;0.989;Inf
"Adeje";TRUE;"BP LA ATALAYA";1.10055555555556;NA;1.161;-Inf;0.989;Inf
"Adeje";TRUE;"TGAS-TU TRÉBOL";1.10055555555556;NA;1.161;-Inf;0.989;Inf
"Adeje";TRUE;"DISA";1.10055555555556;NA;1.161;-Inf;0.989;Inf
"Adeje";TRUE;"DISA FAÑABE";1.10055555555556;NA;1.161;-Inf;0.989;Inf
