"c_p";"direccion";"horario";"latitud";"localidad";"longitud_wgs84";"margen";"municipio";"precio_biodiesel";"precio_bioetanol";"precio_gas_natural_comprimido";"precio_gas_natural_licuado";"precio_gases_licuados_del_petroleo";"precio_gasoleo_a";"precio_gasoleo_b";"precio_gasoleo_premium";"precio_gasolina_95_e10";"precio_gasolina_95_e5";"precio_gasolina_95_e5_premium";"precio_gasolina_98_e10";"precio_gasolina_98_e5";"precio_hidrogeno";"provincia";"remision";"rotulo";"tipo_venta";"percent_bio_etanol";"percent_ester_metilico";"ideess";"id_municipio";"id_provincia";"idccaa";"low_cost"
"02250";"AVENIDA CASTILLA LA MANCHA, 26";"L-D: 07:00-22:00";39.211417;"ABENGIBRE";-1.539167;"D";"Abengibre";NA;NA;NA;NA;NA;1.349;0.879;NA;NA;1.459;NA;NA;NA;NA;"ALBACETE";"dm";"Nº 10.935";"P";0;0;4375;52;"02";"07";TRUE
"02152";"CR CM-332, 46,4";"L-D: 7:00-23:00";39.100389;"ALATOZ";-1.346083;"I";"Alatoz";NA;NA;NA;NA;NA;1.39;NA;1.5;NA;1.519;NA;NA;1.6;NA;"ALBACETE";"dm";"REPSOL";"P";0;0;5122;53;"02";"07";FALSE
"02001";"AVENIDA 1º DE MAYO, S/N";"L-S: 08:00-22:00; D: 09:00-21:00";38.985667;"ALBACETE";-1.8685;"N";"Albacete";NA;NA;NA;NA;NA;1.389;NA;1.419;NA;1.499;NA;NA;1.639;NA;"ALBACETE";"dm";"CARREFOUR";"P";0;0;10765;54;"02";"07";TRUE
"02001";"CALLE FEDERICO GARCIA LORCA, 5";"L-S: 05:00-23:00";38.997722;"ALBACETE";-1.846361;"I";"Albacete";NA;NA;NA;NA;NA;1.389;NA;NA;NA;NA;NA;NA;NA;NA;"ALBACETE";"dm";"CEPSA";"R";0;0;4438;54;"02";"07";FALSE
"02001";"CALLE FEDERICO GARCIA LORCA, 1";"L-D: 24H";39.000861;"ALBACETE";-1.849833;"D";"Albacete";NA;NA;NA;NA;NA;1.259;NA;NA;NA;1.389;NA;NA;NA;NA;"ALBACETE";"dm";"PLENOIL";"P";0;0;13933;54;"02";"07";TRUE
"02001";"CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5";"L-D: 06:00-21:30";39.054694;"ALBACETE";-1.832;"I";"Albacete";NA;NA;NA;NA;NA;1.399;NA;1.489;NA;1.499;NA;NA;1.641;NA;"ALBACETE";"OM";"BP ROMICA";"P";0;0;12054;54;"02";"07";TRUE
"02005";"CL PASEO DE LA CUBA, 15";"L-D: 06:00-22:00";38.999722;"ALBACETE";-1.854556;"D";"Albacete";NA;NA;NA;NA;0.819;1.409;NA;1.489;NA;1.519;NA;NA;1.629;NA;"ALBACETE";"OM";"REPSOL";"P";0;0;5195;54;"02";"07";FALSE
"02005";"AVENIDA MENÉNDEZ PIDAL, 58";"L-D: 24H";39.003333;"ALBACETE";-1.864917;"N";"Albacete";NA;NA;NA;NA;NA;1.359;NA;1.439;NA;1.479;NA;NA;1.599;NA;"ALBACETE";"dm";"TAMOS";"P";0;0;4369;54;"02";"07";TRUE
"02005";"PASEO CUBA (LA), 36";"L-D: 06:00-23:00";39.005083;"ALBACETE";-1.859917;"N";"Albacete";NA;NA;NA;NA;0.879;1.359;NA;1.439;NA;1.479;NA;NA;1.599;NA;"ALBACETE";"dm";"CEPSA";"P";0;0;14123;54;"02";"07";FALSE
"02005";"AVENIDA ESCRITOR RODRIGO RUBIO, 3";"L-S: 09:00-21:30";39.006889;"ALBACETE";-1.885361;"D";"Albacete";NA;NA;NA;NA;0.758;1.278;NA;1.358;NA;1.398;NA;NA;NA;NA;"ALBACETE";"dm";"A&A";"P";0;0;15000;54;"02";"07";TRUE
"02002";"CALLE HERMANOS FALCÓ, 2";"L-D: 06:30-22:30";38.98925;"ALBACETE";-1.849028;"D";"Albacete";NA;NA;NA;NA;NA;1.379;NA;1.469;NA;1.499;NA;NA;1.629;NA;"ALBACETE";"dm";"CEPSA";"P";0;0;5313;54;"02";"07";FALSE
"02006";"AVDA. DE LOS TOREROS, S/N";"L-D: 07:00-23:00";38.998222;"ALBACETE";-1.869889;"N";"Albacete";NA;NA;NA;NA;NA;1.309;NA;1.359;NA;1.439;NA;NA;NA;NA;"ALBACETE";"dm";"INPEALSA";"P";0;0;4415;54;"02";"07";TRUE
"02006";"CR N-322, 337,8";"L-D: 06:30-22:00";38.925833;"ALBACETE";-2.031861;"I";"Albacete";NA;NA;NA;NA;NA;1.369;0.765;1.439;NA;1.519;NA;NA;1.659;NA;"ALBACETE";"dm";"REPSOL";"P";0;0;5116;54;"02";"07";FALSE
"02006";"CALLE ALMANSA, 2";"L-D: 06:00-23:00";38.984139;"ALBACETE";-1.847083;"I";"Albacete";NA;NA;NA;NA;NA;1.369;NA;1.455;NA;1.499;NA;NA;1.631;NA;"ALBACETE";"dm";"CEPSA";"P";0;0;4795;54;"02";"07";FALSE
"02006";"CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N";"L-S: 07:00-23:00; D: 08:00-23:00";38.988972;"ALBACETE";-1.847361;"N";"Albacete";NA;NA;NA;NA;NA;1.269;NA;1.309;NA;1.389;NA;NA;1.519;NA;"ALBACETE";"dm";"FAMILY ENERGY";"P";0;0;4428;54;"02";"07";TRUE
"02006";"CARRETERA JAEN KM. 2";"L-D: 24H";38.994667;"ALBACETE";-1.871722;"D";"Albacete";NA;NA;NA;NA;NA;1.399;NA;1.459;NA;1.519;NA;NA;1.629;NA;"ALBACETE";"dm";"REPSOL";"P";0;0;5245;54;"02";"07";FALSE
"02006";"CALLE CTRA. DE JAEN, 79";"L-D: 06:00-23:00";38.988111;"ALBACETE";-1.883694;"I";"Albacete";NA;NA;NA;NA;NA;1.379;NA;1.449;NA;1.499;NA;NA;1.619;NA;"ALBACETE";"dm";"REPSOL";"P";0;0;5222;54;"02";"07";FALSE
"02006";"PG CAMPOLLANO-P. 2-CT, S.N.";"L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00";39.012583;"ALBACETE";-1.874972;"D";"Albacete";NA;NA;NA;NA;NA;1.409;NA;1.479;NA;1.509;NA;NA;1.629;NA;"ALBACETE";"OM";"REPSOL";"P";0;0;5191;54;"02";"07";FALSE
"02006";"CR N-301, 244";"L-D: 24H";39.027778;"ALBACETE";-1.892972;"I";"Albacete";NA;NA;NA;NA;NA;1.409;NA;1.459;NA;1.509;NA;NA;1.619;NA;"ALBACETE";"OM";"REPSOL";"P";0;0;5208;54;"02";"07";FALSE
"02006";"CARRETERA N-322 KM. 359";"L-V: 07:00-21:00; S-D: 09:00-14:00";39.033139;"ALBACETE";-1.845083;"D";"Albacete";NA;NA;NA;NA;NA;1.399;NA;1.449;NA;1.489;NA;NA;1.619;NA;"ALBACETE";"OM";"REPSOL";"P";0;0;5289;54;"02";"07";FALSE
"02006";"CARRETERA NACIONAL 322 PTO KM 347 KM. 347";"L-S: 07:00-22:00";38.965639;"ALBACETE";-1.9355;"D";"Albacete";NA;NA;NA;NA;NA;1.319;NA;NA;NA;NA;NA;NA;NA;NA;"ALBACETE";"dm";"P347";"P";0;0;14377;54;"02";"07";TRUE
"02006";"AVENIDA 1º DE MAYO, S/N";"L-D: 07:00-23:00";38.985194;"ALBACETE";-1.866806;"N";"Albacete";NA;NA;NA;NA;NA;1.319;NA;NA;NA;1.439;NA;NA;NA;NA;"ALBACETE";"dm";"PETROCAMP";"P";0;0;5318;54;"02";"07";TRUE
"02006";"AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N";"L-D: 07:00-23:00";38.982167;"ALBACETE";-1.853306;"N";"Albacete";NA;NA;NA;NA;NA;1.309;NA;NA;NA;1.439;NA;NA;NA;NA;"ALBACETE";"dm";"INPEALSA";"P";0;0;4416;54;"02";"07";TRUE
"02099";"CARRETERA NACIONAL 301 KM. 256";"L-V: 06:00-22:00; S: 06:00-14:00; D: 09:00-21:00";38.929389;"ALBACETE";-1.831639;"D";"Albacete";NA;NA;NA;NA;NA;1.299;NA;NA;NA;1.439;NA;NA;NA;NA;"ALBACETE";"dm";"INPEALSA";"P";0;0;5129;54;"02";"07";TRUE
"02004";"CARRETERA N-322 KM. 349";"L-D: 24H";38.970167;"ALBACETE";-1.919778;"D";"Albacete";NA;NA;NA;NA;NA;1.425;NA;1.495;NA;1.529;NA;NA;1.589;NA;"ALBACETE";"dm";"CEPSA";"P";0;0;11048;54;"02";"07";FALSE
"02328";"AVENIDA PRINCIPE, 2";"L-D: 08:00-16:00";38.900944;"SANTA ANA";-1.994028;"D";"Albacete";NA;NA;NA;NA;NA;1.379;0.981;1.429;NA;1.489;NA;NA;1.599;NA;"ALBACETE";"OM";"REPSOL";"P";0;0;5272;54;"02";"07";FALSE
"02140";"CM. 3203 km 14,1";"L-S: 07:00-21:30; D: 09:00-14:00";38.867556;"SALOBRAL (EL)";-1.9205;"D";"Albacete";NA;NA;NA;NA;NA;1.33;0.82;1.36;NA;1.455;NA;NA;NA;NA;"ALBACETE";"dm";"LOZANO";"P";0;0;4394;54;"02";"07";TRUE
"02099";"CTRA.AGUASNUEVAS KM 0,25";"L-D: 24H";38.870278;"SALOBRAL (EL)";-1.922722;"D";"Albacete";NA;NA;NA;NA;NA;NA;0.785;NA;NA;NA;NA;NA;NA;NA;"ALBACETE";"dm";"CORYMAR";"R";0;0;8915;54;"02";"07";TRUE
"02007";"AVENIDA PRIMERA, S/N";"L-D: 24H";39.022139;"ALBACETE";-1.882056;"D";"Albacete";NA;NA;NA;NA;NA;1.249;NA;NA;NA;1.389;NA;NA;NA;NA;"ALBACETE";"dm";"GMOIL";"P";0;0;13369;54;"02";"07";TRUE
"02007";"AVENIDA 0, 48";"L-V: 07:00-14:00; S-D: 09:00-14:00";39.021778;"ALBACETE";-1.886278;"D";"Albacete";NA;NA;NA;NA;NA;1.309;NA;NA;NA;1.449;NA;NA;1.549;NA;"ALBACETE";"dm";"ABOIL";"P";0;0;4413;54;"02";"07";TRUE
"02007";"CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N";"L-D: 24H";39.029583;"ALBACETE";-1.888083;"D";"Albacete";NA;NA;1.099;1.045;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ALBACETE";"dm";"NATURGY ES  GNV ALBACETE";"P";0;0;14612;54;"02";"07";TRUE
"02007";"AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67";"L-D: 24H";39.021583;"ALBACETE";-1.886556;"N";"Albacete";NA;NA;NA;NA;NA;1.309;NA;NA;NA;1.449;NA;NA;NA;NA;"ALBACETE";"dm";"VALERO 24H";"P";0;0;13930;54;"02";"07";TRUE
"02007";"POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69";"L-D: 24H";39.018;"ALBACETE";-1.874333;"D";"Albacete";NA;NA;NA;NA;NA;1.319;NA;1.399;NA;1.439;NA;NA;1.559;NA;"ALBACETE";"dm";"ENERCOM CARBURANTES";"P";0;0;12801;54;"02";"07";TRUE
"02007";"CARRETERA C-M 332 KM. 2,6";"L-D: 06:00-23:30";38.998111;"ALBACETE";-1.831611;"D";"Albacete";NA;NA;NA;NA;NA;1.379;0.939;1.469;NA;1.499;NA;NA;1.629;NA;"ALBACETE";"dm";"INLOCOR S.L. \"CEPSA\"";"P";0;0;4790;54;"02";"07";TRUE
"02007";"SECTOR PARCELA T-3 LOCAL52, 14";"L-S: 06:00-23:00; D: 08:00-23:00";39.009639;"ALBACETE";-1.878111;"N";"Albacete";NA;NA;NA;NA;NA;1.289;NA;1.319;NA;1.418;NA;NA;1.492;NA;"ALBACETE";"dm";"ALCAMPO";"P";0;0;9601;54;"02";"07";TRUE
"02007";"AVENIDA PRIMERA, 94";"L-V: 06:00-22:00; S: 06:00-14:00";39.016361;"ALBACETE";-1.893944;"N";"Albacete";NA;NA;NA;NA;NA;1.299;NA;1.349;NA;1.429;NA;NA;NA;NA;"ALBACETE";"dm";"INPEALSA";"P";0;0;4417;54;"02";"07";TRUE
"02007";"MADRID-CARTAGENA km 248,5";"L-D: 06:00-22:00";38.971722;"ALBACETE";-1.845278;"D";"Albacete";NA;NA;NA;NA;NA;1.419;NA;1.489;NA;1.519;1.559;NA;1.639;NA;"ALBACETE";"OM";"REPSOL. LOS ANGELES DE LA MANCHA, S.L.";"P";0;0;9546;54;"02";"07";TRUE
