"rotulo";"direccion";"localidad";"municipio";"id_provincia";"ideess"
"PLENOIL";"CALLE FEDERICO GARCIA LORCA, 1";"ALBACETE";"Albacete";"02";13933
"TAMOS";"AVENIDA MENÉNDEZ PIDAL, 58";"ALBACETE";"Albacete";"02";4369
"REPSOL";"CARRETERA JAEN KM. 2";"ALBACETE";"Albacete";"02";5245
"REPSOL";"CR N-301, 244";"ALBACETE";"Albacete";"02";5208
"CEPSA";"CARRETERA N-322 KM. 349";"ALBACETE";"Albacete";"02";11048
"CORYMAR";"CTRA.AGUASNUEVAS KM 0,25";"SALOBRAL (EL)";"Albacete";"02";8915
"GMOIL";"AVENIDA PRIMERA, S/N";"ALBACETE";"Albacete";"02";13369
"NATURGY ES  GNV ALBACETE";"CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N";"ALBACETE";"Albacete";"02";14612
"VALERO 24H";"AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67";"ALBACETE";"Albacete";"02";13930
"ENERCOM CARBURANTES";"POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69";"ALBACETE";"Albacete";"02";12801
"AVANZA OIL";"POLIGONO CAMPOLLANO C/.F, 13";"ALBACETE";"Albacete";"02";10129
"FAST & GAS";"AVENIDA 3ª ESQUINA C/ F Nº3, 3";"ALBACETE";"Albacete";"02";12763
"CEPSA";"AUTOVIA A-30 KM. 239,4";"ALBACETE";"Albacete";"02";5174
"GASÓLEOS S. ALMANSA";"AVENIDA CIRCUNVALACION, 17";"ALMANSA";"Almansa";"02";11931
"QUALITY ALMANSA";"CALLE INFANTE DON JUAN MANUEL, 4";"ALMANSA";"Almansa";"02";14256
"GASOLINERA LOW COST PENADES";"CARRETERA N-430 BADAJOZ A VALENCIA KM. 594";"ALMANSA";"Almansa";"02";14129
"COOPERATIVA SANTA CRUZ DE ALPERA";"BONETE, S/Nº";"ALPERA";"Alpera";"02";9035
"COABA";"CAMINO DE LOS GONZALOS SN";"BARRAX";"Barrax";"02";9254
"CEPSA";"AVDA. DEL VINO, 10";"CASAS-IBAÑEZ";"Casas-Ibáñez";"02";10953
"VILA Y FAYOS";"CARRETERA D-12 ESTACION KM. 32";"CAUDETE";"Caudete";"02";14203
"HAM";"CARRETERA D12 ESTACION KM. 1";"CAUDETE";"Caudete";"02";15047
"TRANSPORTES CAUDETE";"CARRETERA N-344 KM. 114,500";"CAUDETE";"Caudete";"02";12471
"VIRGEN DE LAS NIEVES";"CALLE VIRGEN DE LAS NIEVES, 17";"CENIZATE";"Cenizate";"02";12074
"SAN DIONISIO";"LA HIGUERA, 000";"FUENTE-ALAMO";"Fuente-Álamo";"02";10621
"HELLIN GAS S.L.";"CARRETERA TORREUCHEA KM. 1";"HELLIN";"Hellín";"02";11181
"MULTSER-OIL";"CARRETERA N 301-A KM. S/N";"HELLIN";"Hellín";"02";14148
"PLENOIL";"AVENIDA LIBERTAD, 111";"HELLIN";"Hellín";"02";14611
"IDS";"POLIGONO SAN RAFAEL 3ª FASE, SN";"HELLIN";"Hellín";"02";11142
"NO";"BALTASAR GONZALEZ SAEZ, 34 - 36";"HIGUERUELA";"Higueruela";"02";8895
"SAT VIDEMA";"AVENIDA DE LEVANTE 27";"MADRIGUERAS";"Madrigueras";"02";9252
"SECADEMA";"CAMINO HORTIGOSA, S/N";"MAHORA";"Mahora";"02";9250
"COOPERATIVA VITIVINICOLA SANTIAGO EL MAYOR";"CARRETERA MADRID-CARTAGENA KM. S/N";"MINAYA";"Minaya";"02";9219
"OLEOVINICOLA CAMPOS DE MUNERA S. COOP. DE C-LM";"CALLE COOPERATIVAS, 4";"MUNERA";"Munera";"02";12231
"ONTALBA S. COOP DE C-LM";"CAMINO DE HELLIN S/N";"ONTUR";"Ontur";"02";11340
"VALERO 24H ENERGIA";"AVENIDA GUARDIA CIVIL, S/N";"PEÑAS DE SAN PEDRO";"Peñas de San Pedro";"02";14417
"GASOLEOS TURBULA";"CARRETERA FUENTEALAMO KM. 36";"PETROLA";"Pétrola";"02";4791
"SAT SANTA CRUZ DE POZO LORENTE";"POLIGONO PARAJE RECIAL, 2";"POZO-LORENTE";"Pozo-Lorente";"02";12334
"RODATRANS";"CR NACIONAL 301 km 210,300";"RODA (LA)";"Roda (La)";"02";9414
"HAM";"POLIGONO AVENIDA PRIMERA, 17";"RODA (LA)";"Roda (La)";"02";14811
"LA REMEDIADORA";"ALFREDO ATIENZA, 149-151";"RODA (LA)";"Roda (La)";"02";8958
"GASPLAY";"CARRETERA AB101 KM. 0,2";"RODA (LA)";"Roda (La)";"02";13480
"COOP. LA UNION AB";"CARRETERA VILLAGARCIA KM. 0,1";"TARAZONA DE LA MANCHA";"Tarazona de la Mancha";"02";11402
"LA GAVIOTA GASOLINERAS";"AVENIDA ALBACETE, 35";"TARAZONA DE LA MANCHA";"Tarazona de la Mancha";"02";12953
"REPSOL";"AVENIDA GUARDIA CIVIL, 233";"TOBARRA";"Tobarra";"02";5219
"NO HAY";"SANTA CRUZ 16";"VALDEGANGA";"Valdeganga";"02";8900
"SAN ISIDRO";"CALLE DEL VINO, 10";"VILLALGORDO DEL JUCAR";"Villalgordo del Júcar";"02";12702
"NO TIENE";"CALLE VALENCIA, 41";"VILLAMALEA";"Villamalea";"02";10053
"REPSOL";"AUTOVIA A-43 KM. 129";"VILLARROBLEDO";"Villarrobledo";"02";11797
